time_s,position_cm,setpoint_cm,error_cm,control_signal_v
67.31914162635803,4.44,5.0,0.5599999999999996,4.995
67.5686981678009,4.37,5.0,0.6299999999999999,4.995
67.83354425430298,4.44,5.0,0.5599999999999996,5.015
68.10157656669617,4.42,5.0,0.5800000000000001,4.985
68.3684253692627,4.39,5.0,0.6100000000000003,4.985
68.63346266746521,4.39,5.0,0.6100000000000003,5.005
68.89939069747925,4.32,5.0,0.6799999999999997,4.985
69.15019798278809,4.42,5.0,0.5800000000000001,4.976
69.41642379760742,4.44,5.0,0.5599999999999996,5.024
69.68094086647034,4.52,5.0,0.4800000000000004,5.015
69.72983455657959,4.54,5.0,0.45999999999999996,5.034
69.94912028312683,4.37,5.0,0.6299999999999999,4.995
70.21354365348816,4.39,5.0,0.6100000000000003,5.015
70.26258897781372,4.42,5.0,0.5800000000000001,5.024
70.48142766952515,4.47,5.0,0.5300000000000002,5.034
70.74633288383484,4.37,5.0,0.6299999999999999,4.995
70.79730129241943,4.47,5.0,0.5300000000000002,5.015
70.9974479675293,4.42,5.0,0.5800000000000001,5.024
71.26208901405334,4.66,5.0,0.33999999999999986,4.956
71.53098821640015,4.76,5.0,0.2400000000000002,4.868
71.79515361785889,4.66,5.0,0.33999999999999986,4.868
72.06143426895142,4.76,5.0,0.2400000000000002,4.858
72.11301326751709,4.71,5.0,0.29000000000000004,4.878
72.3276538848877,4.78,5.0,0.21999999999999975,4.888
72.57860517501831,4.78,5.0,0.21999999999999975,4.848
72.6441171169281,4.71,5.0,0.29000000000000004,4.839
72.84347534179688,4.74,5.0,0.2599999999999998,4.848
73.10982704162598,4.76,5.0,0.2400000000000002,4.848
73.16097402572632,4.71,5.0,0.29000000000000004,4.858
